Golongan Mu'min|2:1-5
Golongan Kafir|2:6-7
Golongan Munafik|2:8-20
Perintah Menyembah Tuhan Yang Maha Esa|2:21-22
Tantangan kepada kaum musyrikin mengenai Al Qur'an|2:23-24
Balasan terhadap orang-orang yang beriman|2:25-25
Perumpamaan-perumpamaan dalam Al Qur'an dan hikmah-hikmahnya|2:26-27
Bukti-bukti kekuasaan Tuhan|2:28-29
Penciptaan manusia dan penguasaannya di bumi|2:30-39
Beberapa perintah dan larangan Tuhan kepada Bani Israil|2:40-48
Perincian ni'mat Tuhan kepada Bani Israil|2:49-60
Pembalasan terhadap sikap dan perbuatan Bani Israil|2:61-61
Pahala orang yang beriman|2:62-62
Pembalasan terhadap Bani Israil yang melanggar perjanjian dengan Tuhan|2:63-66
Kisah penyembelihan sapi betina|2:67-74
Keimanan orang Jahudi sukar diharapkan dimasa Rasulullah s.a.w.|2:75-82
Bani Israil mengingkari janjinya dengan Allah|2:83-86
Sikap orang Yahudi terhadap para rasul dan kitab-kitab yang diturunkan Allah|2:87-91
Penyembahan yang dilakukan bangsa Yahudi terhadap anak sapi, merupakan tanda bagi kecenderungan mereka terhadap benda|2:92-96
Memusuhi Jibril berarti memusuhi Allah yang mengutusnya|2:97-101
Tuduhan orang Yahudi terhadap Nabi Sulaiman a.s.|2:102-103
Ketidak sopanan orang-orang Yahudi terhadap Nabi dan sahabat-sahabatnya|2:104-105
Menasakhkan sesuatu ayat adalah urusan Allah|2:106-113
Tindakan-tindakan menghalangi beribadah|2:114-118
Larangan mengikuti Yahudi dan Nasrani|2:119-123
Perjanjian dengan Nabi Ibrahim a.s.|2:124-129
Agama Nabi Ibrahim a.s.|2:130-141
Sekitar pemindahan kiblat|2:142-152
Cobaan berat dalam menegakkan kebenaran|2:153-157
Manasik Haji|2:158-158
La'nat Allah terhadap orang-orang yang menyembunyikan ayat-ayat Allah dan terhadap orang-orang kafir|2:159-162
Allah Yang Berkuasa dan Yang Menentukan|2:163-171
Makanan yang halal dan yang haram|2:172-176
Pokok-pokok kebaktian|2:177-177
Qishaash dan hikmahnya|2:178-179
Wasiat|2:180-182
Puasa|2:183-188
Berjihad dengan jiwa dan harta di jalan Allah s.w.t.|2:189-195
Haji|2:196-203
Perbuatan orang-orang munafik|2:204-210
Hikmah diutusnya para rasul dan pelbagai cobaan bagi para pengikutnya|2:211-214
Orang-orang yang diberi nafkah|2:215-215
Hukum perang dalam Islam|2:216-218
Khamar, judi, harta yang dinafkahkan dan pemeliharaan anak yatim|2:219-220
Pokok-pokok hukum perkawinan, perceraian, dan penyusuan|2:221-237
Kewajiban mengerjakan shalat biarpun dalam keadaan takut|2:238-239
Wasiat untuk isteri dan mut'ah|2:240-242
Kewajiban berjihad dan mengeluarkan harta di jalan Allah s.w.t.|2:243-252
